用户ID,用户姓名,商品ID,商品名称,商品类别,单价,购买时间,购买数量,消费金额,用户城市,用户性别,用户年龄
U5814,乐致,P92279,台灯,家居,694.13,2024-09-27 15:52:35,4,2776.52,苏州,女,54
U6495,柳刚克,P87143,桌游,玩具,222.8,2024-06-16 06:46:19,3,668.4,苏州,女,25
U9938,时广,P70645,连衣裙,服装,272.2,2024-07-23 12:10:39,5,1361.0,苏州,男,36
U9936,麻胜盛,P32462,桌游,玩具,763.8,2024-07-18 15:38:06,1,763.8,南京,女,43
U3793,麻清,P82248,时尚杂志,书籍,965.76,2024-06-03 10:29:27,1,965.76,深圳,男,53
U7223,邓会健,P33581,化妆刷套装,美妆,958.3,2024-10-24 07:41:30,1,958.3,深圳,女,33
U8377,石广仁,P96792,毛绒玩具,玩具,649.13,2024-05-31 20:10:24,2,1298.26,天津,男,37
U9974,岑德文,P50039,连衣裙,服装,330.3,2024-08-12 22:45:04,1,330.3,上海,女,43
U5578,成裕广,P13896,智能手表,电子产品,4823.69,2024-11-26 23:46:09,5,24118.45,深圳,女,59
U5267,穆哲,P89922,防晒霜,美妆,749.08,2024-05-21 09:51:23,5,3745.4,南京,女,50
U1273,章诚,P76241,跳绳,运动,494.23,2024-04-26 21:27:06,4,1976.92,重庆,女,57
U9301,丁克,P62958,篮球,运动,415.67,2024-01-05 14:06:09,3,1247.01,北京,男,65
U8254,傅炎光,P42011,拼图,玩具,905.01,2024-05-12 10:02:48,5,4525.05,杭州,男,19
U4008,彭坚,P76745,面霜,美妆,997.34,2024-01-10 14:13:54,1,997.34,广州,女,64
U7420,方弘义,P61384,台灯,家居,2829.75,2024-11-14 04:15:28,2,5659.5,广州,男,35
U9667,水东波,P66591,遥控车,玩具,566.7,2024-03-26 15:10:01,1,566.7,天津,男,59
U1465,周生轮,P14098,篮球,运动,337.12,2024-12-30 06:26:01,2,674.24,重庆,男,63
U7695,王振,P82435,桌游,玩具,131.16,2024-02-03 09:46:12,1,131.16,天津,男,28
U7501,诸会,P93521,收纳盒,家居,2149.58,2024-12-13 06:50:11,5,10747.9,天津,女,26
U9120,元腾楠,P26104,毛绒玩具,玩具,969.96,2024-07-10 01:51:51,5,4849.8,广州,女,33
U7715,章亨,P92402,平板电脑,电子产品,3640.15,2024-06-27 10:55:15,2,7280.3,北京,女,32
U4917,余德岩,P81796,漫画,书籍,518.44,2024-05-15 20:37:52,4,2073.76,南京,女,63
U2232,阮武谦,P63002,连衣裙,服装,528.02,2024-07-12 08:27:56,1,528.02,重庆,女,63
U3508,郁兴,P23733,防晒霜,美妆,504.87,2024-06-01 05:29:55,2,1009.74,重庆,男,19
U9898,强致震,P83434,蓝牙耳机,电子产品,4613.56,2024-02-27 02:30:14,3,13840.68,武汉,女,60
U9644,纪伯新,P94035,卫衣,服装,632.52,2024-03-10 16:50:32,1,632.52,南京,女,38
U6868,罗盛,P18170,连衣裙,服装,879.9,2024-03-22 23:38:09,5,4399.5,苏州,男,53
U5437,计壮,P34434,变形金刚,玩具,653.91,2024-09-18 12:49:01,3,1961.73,西安,女,37
U7651,茅政健,P62112,跳绳,运动,791.67,2024-08-09 20:43:24,5,3958.35,深圳,男,61
U9522,裘克旭,P51421,充电宝,电子产品,5845.97,2024-05-02 11:41:48,4,23383.88,西安,男,34
U9638,湛克楠,P63118,洗发水,美妆,387.92,2024-09-08 10:12:19,3,1163.76,天津,男,20
U8863,萧昌茂,P65171,变形金刚,玩具,864.89,2024-08-23 03:01:59,1,864.89,广州,男,18
U3809,单振,P99704,抱枕,家居,1784.49,2024-04-04 13:39:00,4,7137.96,苏州,男,49
