用户ID,用户姓名,商品ID,商品名称,商品类别,单价,购买时间,购买数量,消费金额,用户城市,用户性别,用户年龄
U4741,喻贵,P56394,卫衣,服装,952.82,2024-02-29 17:12:15,3,2858.46,广州,男,59
U7394,阮力冠,P25972,平板电脑,电子产品,9192.0,2024-11-12 22:35:48,3,27576.0,苏州,女,56
U3569,吴敬海,P69057,笔记本电脑,电子产品,6041.22,2024-02-02 05:14:32,2,12082.44,南京,男,25
U8870,廉伦楠,P40950,化妆刷套装,美妆,791.0,2024-12-10 02:03:18,1,791.0,成都,女,49
U4515,钱庆贵,P18732,山地车,运动,658.31,2024-06-18 23:23:47,4,2633.24,深圳,男,60
U8242,莫涛波,P14160,香水,美妆,796.06,2024-04-21 09:01:13,4,3184.24,重庆,男,43
U3036,凤保固,P94224,拼图,玩具,30.22,2024-07-31 10:04:45,3,90.66,重庆,男,56
U1533,童雄文,P41394,智能手机,电子产品,9779.68,2024-10-05 23:03:50,3,29339.04,成都,女,52
U2523,席福健,P44886,羽毛球拍,运动,275.73,2024-01-10 12:09:08,5,1378.65,天津,女,57
U1142,丁河安,P41858,时尚杂志,书籍,600.97,2024-08-22 10:35:43,1,600.97,苏州,男,55
U4956,时钧,P72567,漫画,书籍,368.43,2024-06-13 10:40:02,4,1473.72,成都,男,23
U7031,陶壮昌,P59554,时尚杂志,书籍,344.84,2024-08-16 04:11:41,5,1724.2,杭州,女,19
U4475,蒋成群,P25237,智能手机,电子产品,7650.17,2024-07-02 01:29:01,1,7650.17,天津,男,33
U9925,卞绍林,P28012,面霜,美妆,477.79,2024-01-20 02:39:23,3,1433.37,深圳,女,30
U5100,严伦志,P79453,羽绒服,服装,910.22,2024-05-30 12:48:25,4,3640.88,广州,女,49
U1553,董弘,P37586,笔记本电脑,电子产品,8792.62,2024-11-25 03:22:46,3,26377.86,杭州,男,34
U5107,湛鹏振,P46226,口红,美妆,935.83,2024-08-11 12:46:37,5,4679.15,天津,女,65
U5394,杨龙信,P92061,遥控车,玩具,443.25,2024-08-04 02:13:36,1,443.25,西安,男,42
U3081,包才振,P15298,运动鞋,服装,461.86,2024-03-14 13:46:17,5,2309.3,北京,女,60
U3085,韩超安,P58422,蓝牙耳机,电子产品,9294.77,2024-07-13 06:50:13,2,18589.54,成都,女,32
U3224,经子楠,P97866,化妆刷套装,美妆,572.76,2024-07-29 12:22:57,1,572.76,杭州,男,25
U5542,高友,P77682,跑步鞋,运动,1010.55,2024-01-26 04:39:50,1,1010.55,重庆,男,40
U7973,苏炎,P47386,办公椅,家居,3857.54,2024-04-02 06:06:12,4,15430.16,南京,女,24
U9107,杜栋坚,P63858,篮球,运动,618.29,2024-09-16 01:12:31,2,1236.58,重庆,女,30
U9385,单磊楠,P30856,卫衣,服装,954.32,2024-02-10 00:48:57,2,1908.64,重庆,男,63
U7324,庞昌庆,P87145,抱枕,家居,623.84,2024-11-02 12:47:17,5,3119.2,杭州,男,42
U9896,袁伯毅,P85866,技术教材,书籍,1012.63,2024-07-08 09:15:59,3,3037.89,上海,女,45
U2907,邹仁伟,P13295,跑步鞋,运动,897.7,2024-07-10 11:27:43,2,1795.4,苏州,女,42
U7723,路冠梁,P45706,拼图,玩具,954.01,2024-05-10 03:41:51,3,2862.03,北京,女,58
U4706,唐峰谦,P96122,毛绒玩具,玩具,135.95,2024-01-26 04:54:56,4,543.8,广州,男,22
U5176,夏义,P74877,桌游,玩具,617.62,2024-12-23 09:08:14,5,3088.1,杭州,男,65
U2701,邵富楠,P22082,羽毛球拍,运动,1026.31,2024-12-28 23:28:58,3,3078.93,广州,男,56
U7082,石民钧,P95701,芭比娃娃,玩具,653.0,2024-11-20 15:10:37,5,3265.0,上海,男,19
U2876,史先,P17037,时尚杂志,书籍,125.63,2024-12-12 03:36:48,3,376.89,苏州,女,65
U6144,姚哲浩,P14226,办公椅,家居,4900.06,2024-11-14 00:32:44,3,14700.18,武汉,男,30
U7860,柳涛轮,P21787,山地车,运动,166.03,2024-02-01 03:03:52,2,332.06,天津,女,64
U9903,裘祥彪,P35112,乐高积木,玩具,32.73,2024-07-04 17:04:08,5,163.65,西安,女,61
U3267,郝利辰,P49618,智能手机,电子产品,1203.97,2024-02-29 05:07:23,4,4815.88,天津,男,18
U9677,董进,P59529,智能手机,电子产品,1546.23,2024-12-10 06:27:12,4,6184.92,广州,女,61
U8357,龚士武,P97710,山地车,运动,870.89,2024-05-01 10:55:52,3,2612.67,南京,女,22
U6754,万龙顺,P57721,瑜伽垫,运动,413.0,2024-06-09 13:58:20,5,2065.0,上海,男,31
U9322,史德,P29019,台灯,家居,1449.49,2024-08-18 07:36:51,5,7247.45,成都,男,51
U3136,邱功,P61895,卫衣,服装,139.26,2024-10-29 15:19:37,3,417.78,成都,女,59
U1895,郁坚,P69127,笔记本电脑,电子产品,8228.66,2024-12-09 18:18:21,5,41143.3,南京,女,26
U5365,廉文晨,P27124,T恤,服装,96.95,2024-12-10 09:19:44,5,484.75,上海,女,64
U8695,支雄清,P37887,防晒霜,美妆,614.56,2024-08-31 08:43:29,4,2458.24,广州,男,59
U5459,尤林,P36325,台灯,家居,1125.0,2024-03-15 11:11:49,2,2250.0,武汉,女,31
U3596,华有达,P97960,洗发水,美妆,370.3,2024-08-03 23:00:57,3,1110.9,天津,女,19
U5065,谢鹏民,P67152,餐桌,家居,1686.68,2024-09-27 05:25:37,4,6746.72,武汉,女,60
U1207,龚富翔,P36577,洗发水,美妆,438.26,2024-11-20 17:28:08,4,1753.04,苏州,女,46
U1275,杜有旭,P98280,口红,美妆,971.0,2024-03-15 05:37:35,4,3884.0,武汉,男,37
U8390,干翔敬,P87393,台灯,家居,604.86,2024-02-17 22:44:42,2,1209.72,苏州,男,55
U2971,夏有浩,P47514,羽绒服,服装,723.87,2024-08-27 07:41:16,4,2895.48,成都,男,63
U7490,元民子,P11038,洗发水,美妆,766.47,2024-02-08 22:02:38,3,2299.41,北京,男,26
U4330,邵武贵,P35794,化妆刷套装,美妆,473.8,2024-01-11 20:46:16,2,947.6,天津,女,46
U3078,韦先信,P20291,时尚杂志,书籍,495.94,2024-10-04 02:58:12,3,1487.82,南京,男,42
U7382,顾仁元,P88045,科幻小说,书籍,641.84,2024-01-11 04:17:34,1,641.84,苏州,男,36
U2122,席兴,P24912,办公椅,家居,567.78,2024-10-12 15:29:55,3,1703.34,西安,男,31
U5115,姚安,P55680,抱枕,家居,2062.23,2024-07-31 04:42:03,3,6186.69,重庆,女,62
U9626,许厚,P63023,充电宝,电子产品,8997.52,2024-07-23 06:24:29,1,8997.52,杭州,女,38
U4454,韦龙宁,P74876,抱枕,家居,2498.45,2024-05-07 08:24:23,2,4996.9,重庆,女,63
U3374,顾政利,P40569,毛绒玩具,玩具,62.54,2024-07-22 06:34:22,4,250.16,天津,男,31
U7035,殷琛,P58741,口红,美妆,423.95,2024-06-08 11:48:08,1,423.95,广州,男,34
U5047,吉成辉,P94797,智能手机,电子产品,8498.05,2024-05-16 01:25:46,2,16996.1,北京,女,65
U5273,罗利震,P29977,笔记本电脑,电子产品,1203.7,2024-03-28 02:42:47,4,4814.8,广州,男,51
U2017,江仁冠,P38694,芭比娃娃,玩具,648.1,2024-07-01 00:36:40,3,1944.3,上海,女,42
U2971,周斌胜,P59955,笔记本电脑,电子产品,4279.54,2024-02-22 18:55:50,5,21397.7,杭州,男,26
U6575,顾维翰,P89684,哑铃,运动,411.3,2024-08-06 23:25:43,2,822.6,重庆,女,51
U1338,袁固,P80519,牛仔裤,服装,359.1,2024-12-16 16:17:15,4,1436.4,广州,女,60
U7256,秦伦光,P10153,历史书籍,书籍,919.15,2024-12-18 02:48:47,4,3676.6,上海,女,45
U1164,季宁,P47964,香水,美妆,399.62,2024-08-28 02:39:57,3,1198.86,深圳,女,29
U3723,庞林彬,P50746,心理学,书籍,592.62,2024-12-23 21:06:33,5,2963.1,重庆,男,42
U1484,戚伟,P30141,时尚杂志,书籍,430.28,2024-09-07 03:06:25,1,430.28,深圳,男,58
U5643,戚信祥,P72161,山地车,运动,605.67,2024-03-03 09:18:26,2,1211.34,杭州,男,21
U7380,柏栋胜,P76872,跑步鞋,运动,675.34,2024-05-28 19:53:17,3,2026.02,武汉,男,35
U2967,沈仁,P60408,山地车,运动,179.76,2024-02-19 00:29:07,4,719.04,上海,女,27
U4751,席海,P55619,跑步鞋,运动,586.49,2024-08-12 14:57:33,4,2345.96,重庆,女,53
U2909,苗康贵,P50885,山地车,运动,90.63,2024-03-26 03:06:57,1,90.63,北京,女,24
U8709,酆航,P14866,平板电脑,电子产品,3387.43,2024-08-09 07:04:32,3,10162.29,天津,男,23
U4219,乐思志,P79924,显示器,电子产品,6967.26,2024-10-29 16:00:35,3,20901.78,成都,男,49
U9005,梁伯广,P63941,技术教材,书籍,835.03,2024-02-23 23:14:50,5,4175.15,上海,男,19
U4261,狄力星,P41719,卫衣,服装,464.11,2024-06-30 20:30:04,1,464.11,成都,女,39
U8464,胡朋,P97088,粉底液,美妆,690.53,2024-04-23 02:38:05,2,1381.06,杭州,男,24
U7103,范成庆,P80336,历史书籍,书籍,168.47,2024-02-11 20:06:15,3,505.41,西安,女,48
U9328,干启,P64569,拼图,玩具,967.81,2024-06-12 19:31:41,2,1935.62,苏州,男,53
U2695,郁哲,P46630,运动鞋,服装,178.38,2024-05-30 17:25:41,4,713.52,天津,女,54
U5674,廉生,P59127,羽毛球拍,运动,685.22,2024-01-15 14:07:47,4,2740.88,武汉,男,20
U9775,屈冠梁,P76794,台灯,家居,3173.93,2024-07-28 00:08:39,5,15869.65,广州,男,29
U5832,冯维辰,P68256,历史书籍,书籍,88.6,2024-12-05 19:52:14,5,443.0,上海,女,55
U2843,郎强,P60689,化妆刷套装,美妆,562.92,2024-05-02 03:40:08,3,1688.76,武汉,女,37
U1696,麻群良,P83770,跑步鞋,运动,754.49,2024-10-09 10:37:37,5,3772.45,苏州,女,42
