用户ID,用户姓名,商品ID,商品名称,商品类别,单价,购买时间,购买数量,消费金额,用户城市,用户性别,用户年龄
U4275,支茂友,P75593,漫画,书籍,728.74,2024-10-18 13:51:50,4,2914.96,成都,女,59
U1866,米晨心,P42401,跳绳,运动,783.76,2024-01-24 22:00:59,2,1567.52,深圳,女,48
U1435,费波建,P20523,卫衣,服装,664.6,2024-04-27 22:45:10,2,1329.2,杭州,男,23
U4791,滕新,P90759,篮球,运动,486.98,2024-10-24 07:16:05,1,486.98,深圳,男,46
U5357,和贵,P34724,技术教材,书籍,481.5,2024-06-29 08:27:17,4,1926.0,成都,女,60
U6715,单彬民,P17744,遥控车,玩具,226.0,2024-09-14 22:33:16,4,904.0,广州,男,44
U7286,姚宏振,P59474,面霜,美妆,870.51,2024-08-23 11:00:47,3,2611.53,深圳,女,23
U3177,严绍轮,P94227,笔记本电脑,电子产品,4899.76,2024-05-25 07:48:39,3,14699.28,成都,男,58
U4239,常富榕,P59418,变形金刚,玩具,251.88,2024-04-15 10:08:43,1,251.88,天津,男,27
U4979,刁固松,P32150,化妆刷套装,美妆,964.66,2024-01-18 06:30:08,2,1929.32,杭州,男,20
U2535,史克策,P97217,沙发,家居,1645.56,2024-06-03 05:13:44,3,4936.68,南京,男,50
U4288,经栋江,P22647,T恤,服装,994.24,2024-05-03 00:59:52,5,4971.2,武汉,男,53
U7937,左成,P81552,四件套,家居,4524.02,2024-02-08 19:27:02,1,4524.02,重庆,女,63
U6655,薛昌峰,P32364,技术教材,书籍,630.48,2024-11-04 13:01:16,5,3152.4,西安,女,26
U6628,明胜时,P12505,夹克,服装,302.4,2024-01-19 06:19:23,4,1209.6,成都,女,23
U1505,邹山钧,P98559,洗发水,美妆,903.28,2024-06-15 17:22:11,2,1806.56,重庆,男,23
U1733,盛言维,P54645,抱枕,家居,3674.14,2024-06-17 03:31:16,3,11022.42,西安,女,34
U3994,项国时,P67631,跑步鞋,运动,453.49,2024-11-14 14:41:39,5,2267.45,深圳,女,31
U1457,裘杰绍,P22802,跑步鞋,运动,59.29,2024-12-28 20:33:32,5,296.45,深圳,男,51
U2583,毕海会,P23493,哑铃,运动,779.24,2024-09-08 11:48:47,2,1558.48,西安,女,59
U6483,谢平,P58098,拼图,玩具,332.88,2024-10-21 19:45:09,2,665.76,上海,女,27
U2505,季进飞,P17171,芭比娃娃,玩具,337.27,2024-04-13 19:55:58,1,337.27,成都,女,63
